line,OE,ME
458,ond for árstafum             úsic sóhtest.,and for honour             us have sought.
459,Geslóh þín fæder             faéhðe maéste:,Your father by striking began             the greatest feud:
460,wearþ hé Heaþoláfe             tó handbonan,he was Heatholaf's             slayer by his own hand
461,mid Wilfingum·             ðá hine gára cyn,of the Wylfings;      then him his spear-kin
462,for herebrógan             habban ne mihte·,for dread of troops             could not shelter;
463,þanon hé gesóhte             Súð-Dena folc,thence he sought             the South-Danes' folk
464,"ofer ýða gewealc,             Ár-Scyldinga·","over the welling of the waves,             the Honour-Scyldings;"
465,ðá ic furþum wéold             folce Deninga,at that time I had just begun to rule             the Danish folk
466,ond on geogoðe héold             gimmeríce,"and in my youth held             the precious kingdom,"
467,hordburh hæleþa·             ðá wæs Heregár déad,"the treasure-keep of heroes;             then was Heregar dead,"
468,mín yldra maég             unlifigende,"my elder brother             unliving,"
469,bearn Healfdenes·             sé wæs betera ðonne ic.,the son of Half-Dane;             he was better than I.
470,Siððan þá faéhðe             féo þingode·,Then the feud             I settled with fees;
471,sende ic Wylfingum             ofer wæteres hrycg,I sent the Wylfings             across the water's ridge
472,ealde mádmas·             hé mé áþas swór.,ancient treasures;             he swore oaths to me.
473,Sorh is mé tó secganne             on sefan mínum,It sorrows me to say             in my heart
474,gumena aéngum             hwæt mé Grendel hafað,to any man             Grendel has caused me what
475,hýnðo on Heorote             mid his heteþancum,"humiliations in Heorot             with his thoughts of hatred,"
476,faérníða gefremed·             is mín fletwerod,carried out lightning-quick attacks;             my hall-troop is
477,wíghéap gewanod·             híe wyrd forswéop,"waned, that war-band;             they have been swept aside by Fate"
478,on Grendles gryre·             god éaþe mæg,in Grendel's horrid violence;             God can easily
479,þone dolsceaðan             daéda getwaéfan.,the rash ravager's             deeds put an end to.
480,Ful oft gebéotedon             béore druncne,"Full oft have vowed,             having drunk beer,"
481,ofer ealowaége             óretmecgas,"over ale-flagons,             battle-men,"
482,þæt híe in béorsele             bídan woldon,that they in the beer-hall             would await
483,Grendles gúþe             mid gryrum ecga.,Grendel's onslaught             with vicious edges.
484,Ðonne wæs þéos medoheal             on morgentíd,"Then, this mead-hall was             in the morning"
485,"drihtsele dréorfáh             þonne dæg lixte,","this noble hall stained with gore             when the day lightened,"
486,eal bencþelu             blóde bestýmed,all of the benches             smeared with blood
487,"heall heoru-dréore·             áhte ic holdra þý laés,","the hall battle-gory;             I had friends the fewer,"
488,déorre duguðe             þé þá déað fornam.,"cherished old battle-retinue,             for these Death took them away."
489,Site nú tó symle             ond onsaél meoto,Sit now to feast             and        untie your thoughts
490,sigehréð secgum             swá þín sefa hwette.',"of        your glorious victories to the soldiers,      as        your heart urges.'"
491,Þá wæs Géatmæcgum             geador ætsomne,Then the Geatish men were             gathered together
492,on béorsele             benc gerýmed,"in the beer-hall,             room was made on a bench,"
493,þaér swíðferhþe             sittan éodon,"there the strong-souled             went to sit down,"
494,þrýðum dealle             þegn nytte behéold,"proud in prowess             a thane performed his office,"
495,sé þe on handa bær             hroden ealowaége,"he who in his hands bore             an ornate ale-cup,"
496,scencte scír wered·             scop hwílum sang,decanted pure sweet mead;             a bard sang from time to time
497,"hádor on Heorote·             þaér wæs hæleða dréam,","clear in Heorot;             there was joy of heroes,"
498,duguð unlýtel             Dena ond Wedera.,no small host             of Danes and Wederas.
499,Hunferð maþelode             Ecgláfes bearn,"Unferth spoke,      the son of              Edgelaf,"
500,þe æt fótum sæt             fréan Scyldinga·,who sat at the feet             of the lord of the Scyldings;
501,onband beadurúne              wæs him Béowulfes síð,"he unbound battle-runes              for him was the venture of Beowulf,"
502,módges merefaran             micel æfþunca,"brave seafarer's,             a source of great displeasure,"
503,forþon þe hé ne úþe             þæt aénig óðer man,because he did not grant             that any other man
504,aéfre maérða þon má             middangeardes,ever glorious deeds the more             on middle-earth
505,gehédde under heofenum             þonne hé sylfa :,heeded under the heavens      than he        himself :
506,'Eart þú sé Béowulf             sé þe wið Brecan wunne,"'Are you the Beowulf,      who              contested against Breca"
507,on sídne saé             ymb sund flite?,"on the broad sea,             contended around the ocean-sound?"
508,Ðaér git for wlence             wada cunnedon,Where you for bravado             tempted the waters
509,ond for dolgilpe             on déop wæter,and for a foolish boast             in deep sea
510,aldrum néþdon             né inc aénig mon,"risked your lives,             you no man"
511,né léof né láð             beléan mihte, neither friend nor foe              could dissuade
512,sorhfullne síð             þa git on sund réön·,"from that sorrowful jaunt,             when you rowed into the strait;"
513,þaér git éagorstréam             earmum þehton·,"there you sea-currents             in your arms embraced,"
514,maéton merestraéta             mundum brugdon·,"traversed the ocean-roads,             with hands wove,"
515,glidon ofer gársecg·             geofon ýþum,gliding over the sea;             the ocean in waves
516,wéol wintrys wylm·             git on wæteres aéht,"welled, in winter's swells;             you in the water's grasp"
517,seofon niht swuncon·             hé þé æt sunde oferflát·,"toiled for seven nights;             he got the better of you on the sea,"
518,hæfde máre mægen.             Þá hine on morgentíd,he had more might.             Then he in the morning
519,on Heaþo-Raémes             holm up ætbær·,on Heatho-Reams' shore      was cast up        by the sea;
520,"ðonon hé gesóhte             swaésne éðel,","thence he sought             his own homeland,"
521,"léof his léodum,             lond Brondinga","dear to his people,             the land of the Brondings,"
522,freoðoburh fægere             þaér hé folc áhte,"the fair citadel,             he had folk there,"
523,burh ond béagas·             béot eal wið þé,boroughs and rings;             the entire boast with you
524,sunu Béanstánes             sóðe gelaéste.,the son of Beanstan             truly fulfilled.
525,Ðonne wéne ic tó þé             wyrsan geþingea,"I expect then for you             worse results,"
526,ðéah þú heaðoraésa             gehwaér dohte,"though you in war-assaults             everywhere prevailed, "
527,grimre gúðe             gif þú Grendles dearst,"grim combat,             if you for Grendel dare"
528,nihtlongne fyrst             néän bídan.',the space of a night             nearby wait.'
529,Béowulf maþelode             bearn Ecgþéowes:,"Beowulf spoke,             the son of Edgetheow:"
530,"'Hwæt, þú worn fela,             wine mín Hunferð,","'Listen, you a great deal              Unferth, my friend,"
531,béore druncen             ymb Brecan spraéce·,"drunk on beer              have spoken about Breca,"
532,sægdest from his síðe.             Sóð ic talige,told of his journey.             Truth I claim
533,þæt ic merestrengo             máran áhte,"that I sea-strength             greater had,"
534,earfeþo on ýþum             ðonne aénig óþer man·,"hardship on the waves,             than any other man;"
535,wit þæt gecwaédon             cnihtwesende,"we had it agreed,             being lads,"
536,ond gebéotedon              waéron bégen þá git,and vowed              being both then still
537,on geogoðféore              þæt wit on gársecg út,in the years of youth              that we out on the ocean
538,aldrum néðdon             ond þæt geæfndon swá.,"our lives would risk,             and thus that we did."
539,Hæfdon swurd nacod             þá wit on sund réön,"We had naked swords             when we rowed on the ocean-sound,"
540,heard on handa:             wit unc wið hronfixas,hard in our hands:             we ourselves against whales
541,werian þóhton·             nó hé wiht fram mé,planned to defend;             not a whit from me was he
542,flódýþum feor             fléotan meahte,"on the sea-waves far             able to float,"
543,hraþor on holme·             nó ic fram him wolde·,"swifter on water,             nor did I wish to part from him;"
544,ðá wit ætsomne             on saé waéron,"then we together             were on the sea,"
545,fíf nihta fyrst             oþ þæt unc flód tódráf,"for the space of five nights,             until the sea-waves drove us apart,"
546,wado weallende             wedera cealdost,"the water welling,             the coldest of weathers,"
547,nípende niht             ond norþanwind,the darkening night             and the north wind
548,heaðogrim ondhwearf·             hréo waéron ýþa·,fierce turned against us;             wild were the waves;
549,wæs merefixa             mód onhréred·,then was the sea-fishes'             wrath roused;
550,þaér mé wið láðum             lícsyrce mín,there me against foes             my body-shirt
551,heard hondlocen             helpe gefremede·,"strong and hand-linked,             did me help,"
552,beadohrægl bróden             on bréostum læg,"my battle-garment braided             lay on my breast,"
553,golde gegyrwed·             mé tó grunde téah,adorned with gold;             to the bottom of the sea I was drawn
554,fáh féondscaða·             fæste hæfde,"by the hostile foe-scather,             it held me fast,"
555,grim on grápe·             hwæþre mé gyfeþe wearð,"cruel in grip;             however, to it was granted"
556,þæt ic áglaécan             orde geraéhte,"that I the monster             reached with my point,"
557,hildebille·             heaþoraés fornam,with battle-bill;      in the battle-rush        I destroyed
558,mihtig meredéor             þurh míne hand.,the mighty sea-beast             with my hand.
559,Swá mec gelóme             láðgetéonan,Thus me often             hateful attackers
560,þréatedon þearle·             ic him þénode,pressed sorely;             I served them
561,déoran sweorde             swá hit gedéfe wæs·,"with my dear sword,             as it was fitting;"
562,næs híe ðaére fylle             geféan hæfdon,"they the feast did not             have rejoicing,"
563,mánfordaédlan             þæt híe mé þégon·,"those perpetrators of crime,             that they partook of me,"
564,symbel ymbsaéton             saégrunde néah,sitting round a banquet             near the sea-bed
565,ac on mergenne             mécum wunde,"but in the morning             by maiche-swords wounded,"
566,be ýðláfe      uppe        laégon,along what is left by the waves             up they lay
567,sweordum áswefede             þæt syðþan ná,"put to sleep by swords,             so that never since"
568,ymb brontne ford             brimlíðende,on the high waterway             sea-travellers
569,láde ne letton.             Léoht éastan cóm,"way did not hinder.             Light came from the east,"
570,beorht béacen godes·             brimu swaþredon,"bright beacon of God,             the sea became still,"
571,þæt ic saénæssas             geséon mihte,"so that I the headlands             was able to see,"
572,windige weallas.             Wyrd oft nereð,windswept walls.             Fate often spares
573,unfaégne eorl             þonne his ellen déah.,the hero not fated to die             when his courage endures.
574,Hwæþere mé gesaélde             þæt ic mid sweorde ofslóh,However it was my good fortune             that I with my sword slew
575,niceras nigene·             nó ic on niht gefrægn,nine of the nicors;      I have not heard by        night
576,under heofones hwealf             heardran feohtan,"under heaven's vault             of a more grievous fight, "
577,né on égstréamum             earmran mannon·,nor on the water-streams      of a more wretched        man;
578,hwaþere ic fára feng             féore gedígde,"yet I the foes' grasp             survived with my life,"
579,siþes wérig·             ðá mec saé oþbær,weary from my venture;             then the sea bore me off
580,flód æfter faroðe             on Finna land,"flood following current             onto the land of the Lapps,"
581,wudu weallendu.             Nó ic wiht fram þé,the tossing boat.             Not a whit of thee
582,swylcra searoníða             secgan hýrde,"in such strife of conflict             have I heard told,"
583,billa brógan·             Breca naéfre gít,of bill-blade terror;      Breca never        yet
584,æt heaðoláce             né gehwæþer incer,"at battle-play,             nor either of you,"
585,swá déorlíce             daéd gefremede,so boldly             performed a deed
586,fágum sweordum              nó ic þæs gylpe ,with bright swords              I do not boast of this 
587,þéah ðú þínum bróðrum             tó banan wurde,"nevertheless, you your brothers'             killer were,"
588,héafodmaégum·             þæs þú in helle scealt,near relatives;             for that you must with Hel
589,werhðo dreogan             þéah þín wit duge·,"suffer torment,             though your mind is strong;"
590,"secge ic þé to sóðe,             sunu Ecgláfes,","I say to you in truth,             son of Edgelaf,"
591,þæt naéfre Grendel swá fela             gryra gefremede,"that Grendel would have never so many             atrocities committed,"
592,"atol aéglaéca             ealdre þínum,"," that terrible demon              to your leader,"
593,hýnðo on Heorote             gif þín hige waére,"humiliation on Heorot,             if your heart were,"
594,sefa swá searogrim             swá þú self talast,and your spirit so battle-fierce             as you yourself tell
595,ac hé hafað onfunden             þæt hé þá faéhðe ne þearf,"but he has found             that the fight he needs not,"
596,atole ecgþræce             éower léode,"that terrible storm of sword-edges             of your nation,"
597,swíðe onsittan             Sige-Scyldinga·,"greatly to dread,             of the Victory-Scyldings;"
598,nymeð nýdbáde·             naénegum árað,"he takes a forced toll,             spares none"
599,léode Deniga             ac hé lust wigeð·,"of the Danish people,             but he carries on his delight,"
600,swefeð ond sendeþ·             secce ne wéneþ,"slaying and despatching,             he does not expect contest"
601,tó Gár-Denum.             Ac ic him Géata sceal,from the Spear-Danes.             But I shall him the Geats'
602,eafoð ond ellen             ungeára nú,"might and courage,             before long now,"
603,"gúþe gebéodan·             gaéþ eft, sé þe mót","offer in war;             a man will be able to go back,"
604,tó medo módig             siþþan morgenléoht,"to mead bravely,             when the morning-light"
605,ofer ylda bearn             óþres dógores,"over the sons of men             of another day,"
606,sunne sweglwered             súþan scíneð.',"the sun clad in radiance,             shines from the south.'"
607,Þá wæs on sálum             sinces brytta,"Then was joyful             the        dispenser of treasures,"
608,gamolfeax ond gúðróf             géoce gelýfde,with wizened hair and brave in battle             for support he trusted
609,brego Beorht-Dena             gehýrde on Béowulfe,the lord of the Bright-Danes             heard in Beowulf
610,folces hyrde             fæstraédne geþóht·,"the guardian of the folk,             firmly-resolved intent;"
611,ðaér wæs hæleþa hleahtor·             hlyn swynsode·,"There was the laughter of heroes,             the noise made melody,"
612,word waéron wynsume.             Éode Wealhþéow forð,"words were joyful.             Wealhtheow came forth,"
613,cwén Hróðgáres             cynna gemyndig,"Hrothgar's queen,             mindful of etiquette,"
614,grétte goldhroden             guman on healle,"greeted, gold-adorned,             the men in the hall"
615,ond þá fréolíc wíf             ful gesealde,"and then the noble lady             gave out full cups,"
616,aérest Éast-Dena             éþelwearde·,"first to the East-Danes             homeland-guardian,"
617,bæd hine blíðne             æt þaére béorþege,"bade him be blithe             at the partaking of beer,"
618,léodum léofne·             hé on lust geþeah,beloved by the people;             he took in delight
619,symbel ond seleful             sigeróf kyning·,"feast-food and hall-cup,             the victorious king;"
620,ymb-éode þá             ides Helminga,"then she went among them,             the lady of the Helmings,"
621,duguþe ond geogoþe             daél aéghwylcne·,"to veteran and youth             a portion to each,"
622,sincfato sealde             oþ þæt saél álamp,"gave rich cups,             until the time came"
623,"þæt hío Béowulfe,             béaghroden cwén","that she to Beowulf,             the ring-adorned queen,"
624,móde geþungen             medoful ætbær·,"blossoming in spirit,             carried a mead-cup;"
625,grétte Géata léod·             gode þancode,"she greeted the Geatish prince,             thanked God,"
626,wísfæst wordum             þæs ðe hire se willa gelamp,"wise in her words,             for that her wish was to be fulfilled,"
627,þæt héo on aénigne             eorl gelýfde,that she in any             noble man could count on
628,fyrena frófre.             Hé þæt ful geþeah,"relief from wickedness.             He took that full-cup,"
629,wælréow wiga             æt Wealhþéön,"the slaughter-fierce warrior             from Wealhtheow,"
630,ond þá gyddode             gúþe gefýsed·,"and then spoke solemnly,             made eager for war;"
631,Béowulf maþelode             bearn Ecgþéowes:,"Beowulf spoke,             the son of Edgetheow:"
632,'Ic þæt hogode·             þá ic on holm gestáh·,"'I resolved that,             when I mounted the water,"
633,saébát gesæt             mid mínra secga gedriht·,"sat down in the sea-boat             amid my company of warriors,"
634,þaét ic ánunga             éowra léoda,that I forthwith             your people's
635,willan geworhte             oþðe on wæl crunge,"will would work,             or fall in slaughter,"
636,féondgrápum fæst·             ic gefremman sceal,fast in the fiend's grasp;             I must perform
637,eorlíc ellen             oþðe endedæg,this daring act of courage             or the last day
638,on þisse meoduhealle             mínne gebídan.',in this mead-hall             of mine await.'
639,Ðám wífe þá word             wél lícodon,"The woman these words             liked well,"
640,gilpcwide Géates·             éode goldhroden,"the vow-speech of the Geat;             went gold-adorned,"
641,fréolicu folccwén             tó hire fréan sittan.,"the noble queen of the folk,             to sit by her lord."
642,Þá wæs eft swá aér             inne on healle,"Then were again, as before,             in the hall,"
643,"þrýðword sprecen,             ðéod on saélum,","bold words spoken,             the people full of joy,"
644,sigefolca swég             oþ þæt semninga, victory-folk's clamour              until presently
645,sunu Healfdenes             sécean wolde,the son of Half-Dane             wished to seek
646,aéfenræste·             wiste þaém áhlaécan,evening-rest;             he knew that the ogre
647,tó þaém héahsele             hilde geþinged,"for the high hall             had plotted an attack,"
648,siððan híe sunnan léoht             geséon meahton,ever since when they the sun's light             could see;
649,oþðe nípende             niht ofer ealle,"and darkening             night all over,"
650,scaduhelma gesceapu             scríðan cwóman,"shadow-helm's shapes             came slithering,"
651,wan under wolcnum.             Werod eall árás·,black beneath the skies.             The troop all arose;
652,gegrétte þá guma             guman óþerne,"greeted then the man             the other man,"
653,Hróðgár Béowulf             ond him haél ábéad,"Hrothgar Beowulf,             and bid him health,"
654,wínærnes geweald             ond þæt word ácwæð:,"the wine-hall's ruler,             and spoke these words:"
655,'Naéfre ic aénegum men             aér álýfde·,"'I never to any man             before entrusted,"
656,siþðan ic hond ond rond             hebban mihte·,"since I hand and shield             was able to raise,"
657,ðrýþærn Dena             búton þé nú ðá·,"this strong-hall of the Danes,             save to thee now;"
658,hafa nú ond geheald             húsa sélest·,"have now and hold             this best of houses,"
659,gemyne maérþo·             mægenellen cýð·,"focus on glory,             show great valour,"
660,waca wið wráþum·             ne bið þé wilna gád,keep watch against the enemy;             there shall be no dearth of your desires
661,gif þú þæt ellenweorc             aldre gedígest.',if this courage-work you             survive with your life.'
662,Ðá him Hróþgár gewát             mid his hæleþa gedryht, 
663,eodur Scyldinga             út of healle·,"the protector of the Scyldings,             out of the hall;"
664,wolde wígfruma             Wealhþéo sécan,"he wished      to        seek Wealhtheow,"
665,cwén tó gebeddan·             hæfde kyningwuldor,"the queen as companion in bed;             the        glory of kings had,"
666,Grendle tógéanes·             swá guman gefrungon·,"against Grendel,              so men heard "
667,seleweard áseted:             sundornytte behéold,the hall-guard posted:             special duty he held
668,ymb aldor Dena·             eotonweard' ábéad.,"for the chief of the Danes,             ogre-watch he kept."
669,Húru Géata léod             georne trúwode,Indeed the prince of the Geats             keenly trusted
670,"módgan mægnes,             metodes hyldo","in his prodigious power,             his Maker's favour,"
671,ðá hé him of dyde             ísernbyrnan,"then he from himself took             iron-byrnie,"
672,helm of hafelan·             sealde his hyrsted sweord,"helm from head,             gave his adorned sword,"
673,írena cyst             ombihtþegne,"the choicest of irons,             to his retainer,"
674,ond gehealdan hét             hildegeatwe·,and commanded him ward             his battle-gear;
675,gespræc þá se góda             gylpworda sum,"the good man spoke then             some promise-words,"
676,Béowulf Géata             aér hé on bed stige:,"Beowulf of the Geats,             before he stepped into bed:"
677,'Nó ic mé an herewæsmun             hnágran talige,'I myself in martial-stature do not             tally poorer
678,gúþgeweorca             þonne Grendel hine·,in works of war             then Grendel himself;
679,"forþan ic hine sweorde             swebban nelle,","therefore him with my sword I             shall not slay,"
680,aldre benéotan             þéah ic eal mæge·,"deprive of life,             though I fully am able;"
681,nát hé þára góda             þæt hé mé ongéan sléä·,"he knows not the finer skills             that he may strike me back,"
682,rand gehéawe             þéah ðe hé róf síe,"hew my rimmed-shield,             although he is renowned"
683,níþgeweorca      ac        wit on niht sculon,for malicious works             but we at night must
684,secge ofersittan             gif hé gesécean dear,relinquish short sword             if he dares to seek
685,wíg ofer waépen             ond siþðan wítig god,"war without weapons,             and then wise God,"
686,on swá hwæþere hond             hálig dryhten,"on whichever hand,             the holy Lord"
687,maérðo déme             swá him gemet þince.',"will allot glory,             as seems fitting to Him.'"
688,Hylde hine þá heaþodéor              hléorbolster onféng,The war-bold one then bent himself        down       the cheek-bolster received
689,eorles andwlitan              ond hine ymb monig,the earl's face              and round him many
690,snellíc saérinc             selereste gebéah·,brave seaman             sank down in hall-slumber;
691,naénig heora þóhte             þæt hé þanon scolde,none of them thought             that he thence would
692,eft eardlufan             aéfre gesécean,"his dear home again             ever visit,"
693,folc oþðe fréoburh             þaér hé áféded wæs,"his folk or his noble citadel,             where he was nurtured"
694,ac híe hæfdon gefrúnen             þæt híe aér tó fela micles,for they had heard             that far too many of them already
695,in þaém wínsele             wældéað fornam,in that wine-hall             slaughtering Death had carried off
696,Denigea léode.             Ac him dryhten forgeaf,of the Danish people.             But to them the Lord granted
697,wígspéda gewiofu              Wedera léodum,"the woven-destiny of war-luck             to the Wederas' men,"
698,frófor ond fultum             þæt híe féond heora,"solace and support,             that they their foe,"
699,ðurh ánes cræft             ealle ofercómon,"through the strength of one,             all overcame,"
700,"selfes mihtum·             sóð is gecýþed,",by his own might;             truth is known
701,þæt mihtig god             manna cynnes,that mighty God             mankind
702,weold wídeferhð.             Cóm on wanre niht,has ruled forever.             In the colourless night came
703,scríðan sceadugenga·             scéotend swaéfon,"slinking the shadow-wanderer;                   the shooters slept,"
704,þá þæt hornreced             healdan scoldon,"they that the horned-house             were obliged to guard,"
705,ealle búton ánum              þæt wæs yldum cúþ,all but one              it was known to men
706,þæt híe ne móste·             þá metod nolde·,"that they could not,             when the Maker did not wish it,"
707,se synscaþa             under sceadu bregdan ,by the malefactor             be drawn under the shadows 
708,ac hé wæccende             wráþum on andan,but he watching      in angry        indignation
709,bád bolgenmód             beadwa geþinges.,bided in rising rage             for the result of battle.
710,Ðá cóm of móre             under misthleoþum,Then came from the moor             under the misty cliffs 
711,Grendel gongan·             godes yrre bær·,"Grendel walking,             God's wrath he bore;"
712,mynte se mánscaða             manna cynnes,the vile ravager meant             from mankind
713,sumne besyrwan             in sele þám héan·,a sample
714,wód under wolcnum             tó þæs þe hé wínreced,"he waded under the clouds             until he the wine-hall,"
715,goldsele gumena             gearwost wisse," the gold-hall of men              mostly-certainly saw,"
716,faéttum fáhne·             ne wæs þæt forma síð,shining gold;             it was not the first time
717,þæt hé Hróþgáres             hám gesóhte·,that he Hrothgar's             home had sought;
718,naéfre hé on aldordagum             aér ne siþðan,"he never in the days of his life,             ere nor after,"
719,heardran haéle             healðegnas fand.,harder luck             or hall-thanes found.
720,  Cóm þá to recede             rinc síðian,"  He came then to the hall             the fighter journeying,"
721,dréamum bedaéled·             duru sóna onarn,"cut-off from merriment;             the door soon rushed open,"
722,fýrbendum fæst             syþðan hé hire folmum æthrán,"firm with fire-forged bands,             when he tapped it with his hands"
723,"onbraéd þá bealohýdig             ðá hé gebolgen wæs,","plotting evil then he tore open,             now that he was enraged,"
724,recedes múþan·             raþe æfter þon,the mouth of the building;             straight after that
725,on fágne flór             féond treddode·,"on the tessellated floor             the fiend treaded,"
726,éode yrremód·             him of éagum stód,"advanced angrily;             from his eyes issued,"
727,ligge gelícost             léoht unfaéger·,"most like a flame,             a distorted light;"
728,geseah hé in recede             rinca manige,he saw in the hall             many warriors
729,swefan sibbegedriht             samod ætgædere,a sleeping company of kinsmen             gathered together
730,magorinca héap.             Þá his mód áhlóg:,a great host of warriors.             Then his heart laughed:  
731,mynte þæt hé gedaélde             aér þon dæg cwóme,"he intended to deprive,             ere the day came,"
732,atol áglaéca             ánra gehwylces,"the cruel beast,             from each one"
733,líf wið líce             þá him álumpen wæs,"life from body,             now had befallen him"
734,wistfylle wén.             Ne wæs þæt wyrd þá gén,a hope of a full feast.             It was not his fate again
735,þæt hé má móste             manna cynnes,that he might more             of mankind
736,ðicgean ofer þá niht·             þrýðswýð behéold,"partake of after that night;             the mighty man beheld,"
737,maég Higeláces             hú se mánscaða,"the kinsman of Hygelac,             how the cruel killer"
738,under faérgripum             gefaran wolde.,by means of a sudden attack             wished to proceed.
739,Né þæt se áglaéca             yldan þóhte,"That the monster did not             think to delay,"
740,ac hé geféng hraðe             forman síðe,"but he quickly grasped,             at the first occasion,"
741,slaépendne rinc             slát unwearnum·,"a sleeping warrior,             rended without restraint,"
742,bát bánlocan·             blód édrum dranc·,"bit into the bone-locks,             from the veins drank blood,"
743,synsnaédum swealh·             sóna hæfde,swallowed great chunks;             soon he had
744,unlyfigendes             ealgefeormod,"the unliving one             all devoured,"
745,fét ond folma·             forð néar ætstóp·,"feet and hands;             nearer he stepped forth,"
746,nam þá mid handa             higeþíhtigne,taking then with his hands             a stout-hearted 
747,rinc on ræste·             raéhte ongéan,"warrior from his rest,             reached towards him"
748,féond mid folme·             hé onféng hraþe,the foe with his palm;             quickly he grasped
749,inwitþancum             ond wið earm gesæt.,the malice thoughts             and clamped down on the arm.
750,Sóna þæt onfunde             fyrena hyrde·,"At once he found,             the shepherd of atrocities,"
751,þæt hé ne métte             middangeardes,"that he had not met             in middle-earth,"
752,eorþan scéatta             on elran men,"in the expanse of the world,             in another man"
753,mundgripe máran·             hé on móde wearð,a greater hand-grip;             he in his heart grew
754,forht on ferhðe·             nó þý aér fram meahte·,fearing for life;             none the sooner could he away;
755,"hyge wæs him hinfús·             wolde on heolster fléon,","eager-to-go-hence was the thought in        him,      he wanted to flee into the darkness,"
756,sécan déofla gedræg·             ne wæs his drohtoð þaér,to seek the devils' concourse;             his situation there was not
757,swylce hé on ealderdagum             aér gemétte.,like he in the days of his life             ever had met.
758,Gemunde þá se góda             maég Higeláces,"The good man then recalled,             the kinsman of Hygelac,"
759,aéfenspraéce·             uplang ástód,his evening-speech;             upright he stood
760,ond him fæste wiðféng·             fingras burston·,and laid hold of him tight;             fingers burst;
761,eoten wæs útweard·             eorl furþur stóp.,"the troll was striving to move        outward,      the earl stepped forward."
762,Mynte se maéra             hwaér hé meahte swá,"The infamous one meant,             anywhere he so was able,"
763,wídre gewindan             ond on weg þanon,farther escape             and away thence
764,fléon on        fenhopu·     wiste his fingra geweald,flee to his secret places in the fen;             he knew his fingers' control
765,on grames grápum·             þæt he wæs géocorsíð,"in his enemy's grip,             that was a bitter journey he"
766,þæt sé hearmscaþa             to Heorute átéah.,that the harm-warrior             had taken to Heorot.
767,Dryhtsele dynede·             Denum eallum wearð,"The noble hall broke into a din;             the Danes all were,"
768,ceasterbúendum             cénra gehwylcum," the citadel-dwellers              each of the bold,"
769,eorlum ealuscerwen·             yrre waéron bégen,earls in the        flood of bitter drink;      enraged were        both
770,réþe renweardas·             reced hlynsode.,fierce hall-wards;      the hall        resounded.
771,Þá wæs wundor micel             þæt se wínsele,Then it was a great wonder             that the wine-hall
772,wiðhæfde heaþodéorum·             þæt hé on hrúsan ne féol,"withstood the war-fighters,             that it did not fall to the ground,"
773,faéger foldbold             ac hé þæs fæste wæs,the fair mansion             but it so firm was
774,innan ond útan             írenbendum,inside and out             with iron-bands
775,searoþoncum besmiþod·             þaér fram sylle ábéag,skilfully smithed;             there from the floor broke away
776,medubenc monig             míne gefraége,"many mead-benches,             I heard,"
777,golde geregnad             þaér þá graman wunnon·,"adorned with gold,             where the enemies struggled;"
778,þæs ne wéndon aér             witan Scyldinga·,"it was not thought before,             by the sages of the Scyldings,"
779,þæt hit á mid gemete             manna aénig,that it ever by means             any men
780,"betlíc ond bánfág             tóbrecan meahte,","splendid and bone-adorned,             could break it up,"
781,listum tólúcan             nymþe líges fæþm,"cleverly cleave asunder,             not unless fire's embrace"
782,swulge on swaþule.             Swég up ástág,"swallowed it in inferno.             Sound ascended up,"
783,níwe geneahhe·             Norð-Denum stód,"new, nearby:             the North-Danes stood"
784,atelíc egesa             ánra gehwylcum,"in ghastly horror,             in each one of"
785,"þára þe of wealle             wóp gehýrdon,","them who from the wall             weeping heard,"
786,gryreléoð galan             godes andsacan,"terrible screaming,             God's adversary,"
787,"sigeléasne sang,             sár wánigean","a victoryless song,             bewailing his wound,"
788,helle hæfton·             héold hine fæste,"Hel's prisoner;             he held him fast,"
789,sé þe manna wæs             mægene strengest,he who was of men             in might strongest
790,on þaém dæge             þysses lífes.,on that day             in this life.
791, Nolde        eorla hléo      aénige þinga,The protector of earls had no wish             for any reason
792,þone cwealmcuman             cwicne forlaétan,"the murderous guest             to release alive,"
793,né his lífdagas             léoda aénigum,nor his life-days             to any people
794,nytte tealde.             Þær genehost brægd,counted as advantage.             There many brandished
795,eorl Béowulfes             ealde láfe·,"warriors of Beowulf,             old        heirlooms,"
796,wolde fréadrihtnes             feorh ealgian,"they wished prince-lord's             life defend,"
797,maéres þéodnes             ðaér híe meahton swá·,"the legendary leader's,             if they could do so;"
798,híe þæt ne wiston             þá híe gewin drugon,"they did not know that,             when they joined the fray,"
799,heardhicgende             hildemecgas,"the bold-minded             battle-men,"
800,"ond on healfa gehwone             héawan þóhton,","and on each side             thought to heaw,"
801,sáwle sécan:             þone synscaðan,to seek the soul:      that the sin-scather 
802,aénig ofer eorþan             írenna cyst,"any on earth,             of the choicest of irons,"
803,gúðbilla nán             grétan nolde,"of war-bills, none,      could not at all greet him "
804,ac hé sigewaépnum             forsworen hæfde,"but he victory-weapons             had forsworn,"
805,ecga gehwylcre.             Scolde his aldorgedál,every blade-edge.             His life-severing was bound to
806,on ðaém dæge             þysses lífes,on that day      in        this life
807,earmlíc wurðan             ond se ellorgást,"be wretched,             and the alien-spirit"
808,on féonda geweald             feor síðian·,into the administration of fiends             would journey far away;
