1 Hwæt! Wé Gárdena     in géardagum
641 fréolicu folccwén     tó hire fréan sittan.
642 Þá wæs eft swá aér     inne on healle
643 þrýðword sprecen,     ðéod on saélum,
644 sigefolca swég     oþ_þæt semninga
645 sunu Healfdenes     sécean wolde
646 aéfenræste·     wiste þaém áhlaécan
647 tó þaém héahsele     hilde geþinged
648 siððan híe sunnan léoht     geséon @ meahton
649 oþðe_nípende     niht ofer ealle
650 scaduhelma gesceapu     scríðan cwóman
651 wan under wolcnum.     Werod eall árás·
652 gegrétte þá guma     guman óþerne
653 Hróðgár Béowulf     ond him haél ábéad
654 wínærnes geweald     ond þæt word ácwæð:
655 'Naéfre ic aénegum men     aér álýfde·
656 siþðan ic hond ond rond     hebban mihte·
657 ðrýþærn Dena     búton þé nú ðá·
658 hafa nú ond geheald     húsa sélest·
659 gemyne maérþo·     mægenellen cýð·
660 waca wið wráþum·     ne bið þé wilna gád
661 gif þú þæt ellenweorc     aldre gedígest.'
662 Ðá him Hróþgár gewát     mid his hæleþa gedryht
663 eodur Scyldinga     út of healle·
664 wolde wígfruma     Wealhþéo sécan
665 cwén tó gebeddan·     hæfde kyningwuldor
666 Grendle tógéanes·     swá guman gefrungon·
667 seleweard áseted:     sundornytte behéold
668 ymb aldor Dena·     eotonweard' ábéad.
669 Húru Géata léod     georne trúwode
670 módgan mægnes,     metodes hyldo
671 ðá hé him of dyde     ísernbyrnan
672 helm of hafelan·     sealde his hyrsted sweord
673 írena cyst     ombihtþegne
674 ond gehealdan hét     hildegeatwe·
675 gespræc þá se góda     gylpworda sum
676 Béowulf Géata     aér hé on bed stige:
677 'Nó ic mé an herewæsmun     hnágran talige
678 gúþgeweorca     þonne Grendel hine·
679 forþan ic hine sweorde     swebban nelle,
680 aldre benéotan     þéah ic eal mæge·
681 nát hé þára góda     þæt hé mé ongéan sléä·
682 rand gehéawe     þéah ðe hé róf síe
683 níþgeweorca     ac wit on niht sculon
684 secge ofersittan     gif hé gesécean dear
685 wíg ofer waépen     ond siþðan wítig god
686 on swá hwæþere hond     hálig dryhten
687 maérðo déme     swá him gemet þince.'
688 Hylde hine þá heaþodéor     —hléorbolster onféng
689 eorles andwlitan—     ond hine ymb monig
690 snellíc saérinc     selereste gebéah·
691 naénig heora þóhte     þæt hé þanon scolde
692 eft eardlufan     aéfre gesécean
693 folc oþðe fréoburh     þaér hé áféded wæs
694 ac híe hæfdon gefrúnen     þæt híe aér tó fela micles
695 in þaém wínsele     wældéað fornam
696 Denigea léode.     Ac him dryhten forgeaf
697 wígspéda gewiofu     Wedera léodum
698 frófor ond fultum     þæt híe féond heora
699 ðurh ánes cræft     ealle ofercómon
700 selfes mihtum·     sóð is gecýþed,
701 þæt mihtig god     manna cynnes
702 weold wídeferhð.     Cóm on wanre niht
703 scríðan sceadugenga·     scéotend swaéfon
704 þá þæt hornreced     healdan scoldon
705 ealle búton ánum     —þæt wæs yldum cúþ
706 þæt híe ne móste·     þá metod nolde·
707 se synscaþa     under sceadu bregdan—
708 ac hé wæccende     wráþum on andan
709 bád bolgenmód     beadwa geþinges.
710 Ðá cóm of móre     under misthleoþum
711 Grendel gongan·     godes yrre bær·
712 mynte se mánscaða     manna cynnes
713 sumne besyrwan     in sele þám héan·
714 wód under wolcnum     tó þæs þe hé wínreced
715 goldsele gumena     gearwost wisse
716 faéttum fáhne·     ne wæs þæt forma síð
717 þæt hé Hróþgáres     hám gesóhte·
718 naéfre hé on aldordagum     aér ne siþðan
719 heardran haéle     healðegnas fand.
720 Cóm þá to recede     rinc síðian
721 dréamum bedaéled·     duru sóna onarn
722 fýrbendum fæst     syþðan hé hire folmum æthrán
723 onbraéd þá bealohýdig     ðá hé gebolgen wæs,
724 recedes múþan·     raþe æfter þon
725 on fágne flór     féond treddode·
726 éode yrremód·     him of éagum stód
727 ligge gelícost     léoht unfaéger·
728 geseah hé in recede     rinca manige
729 swefan sibbegedriht     samod ætgædere
730 magorinca héap.     Þá his mód áhlóg:
731 mynte þæt hé gedaélde     aér_þon dæg cwóme
732 atol áglaéca     ánra gehwylces
733 líf wið líce     þá him álumpen wæs
734 wistfylle wén.     Ne wæs þæt wyrd þá gén
735 þæt hé má móste     manna cynnes
736 ðicgean ofer þá niht·     þrýðswýð behéold
737 maég Higeláces     hú se mánscaða
738 under faérgripum     gefaran wolde.
739 Né þæt se áglaéca     yldan þóhte
740 ac hé geféng hraðe     forman síðe
741 slaépendne rinc     slát unwearnum·
742 bát bánlocan·     blód édrum dranc·
743 synsnaédum swealh·     sóna hæfde
744 unlyfigendes     ealgefeormod
745 fét ond folma·     forð néar ætstóp·
746 nam þá mid handa     higeþíhtigne
747 rinc on ræste·     raéhte ongéan
748 féond mid folme·     hé onféng hraþe
749 inwitþancum     ond wið earm gesæt.
750 Sóna þæt onfunde     fyrena hyrde·
751 þæt hé ne métte     middangeardes
752 eorþan scéatta     on elran men
753 mundgripe máran·     hé on móde wearð
754 forht on ferhðe·     nó þý aér fram meahte·
755 hyge wæs him hinfús·     wolde on heolster fléon,
756 sécan déofla gedræg·     ne wæs his drohtoð þaér
757 swylce hé on ealderdagum     aér gemétte.
758 Gemunde þá se góda     maég Higeláces
759 aéfenspraéce·     uplang ástód
760 ond him fæste wiðféng·     fingras burston·
761 eoten wæs útweard·     eorl furþur stóp.
762 Mynte se maéra     hwaér hé meahte swá
763 wídre gewindan     ond on weg þanon
764 fléon on fenhopu·     wiste his fingra geweald
765 on grames grápum·     þæt he wæs géocorsíð
766 þæt sé hearmscaþa     to Heorute átéah.
767 Dryhtsele dynede·     Denum eallum wearð
768 ceasterbúendum     cénra gehwylcum
769 eorlum ealuscerwen·     yrre waéron bégen
770 réþe renweardas·     reced hlynsode.
771 Þá wæs wundor micel     þæt se wínsele
772 wiðhæfde heaþodéorum·     þæt hé on hrúsan ne féol
773 faéger foldbold     ac hé þæs fæste wæs
774 innan ond útan     írenbendum
775 searoþoncum besmiþod·     þaér fram sylle ábéag
776 medubenc monig     míne gefraége
777 golde geregnad     þaér þá graman wunnon·
778 þæs ne wéndon aér     witan Scyldinga·
779 þæt hit á mid gemete     manna aénig
780 betlíc ond bánfág     tóbrecan meahte,
781 listum tólúcan     nymþe líges fæþm
782 swulge on swaþule.     Swég up ástág
783 níwe geneahhe·     Norð-Denum stód
784 atelíc egesa     ánra gehwylcum
785 þára þe of wealle     wóp gehýrdon,
786 gryreléoð galan     godes andsacan
787 sigeléasne sang,     sár wánigean
788 helle hæfton·     héold hine fæste
789 sé þe manna wæs     mægene strengest
790 on þaém dæge     þysses lífes.
791 Nolde eorla hléo     aénige þinga
792 þone cwealmcuman     cwicne forlaétan
793 né his lífdagas     léoda aénigum
794 nytte tealde.     Þær genehost brægd
795 eorl Béowulfes     ealde láfe·
796 wolde fréadrihtnes     feorh ealgian
797 maéres þéodnes     ðaér híe meahton swá·
798 híe þæt ne wiston     þá híe gewin drugon
799 heardhicgende     hildemecgas
800 ond on healfa gehwone     héawan þóhton,
801 sáwle sécan:     þone synscaðan
802 aénig ofer eorþan     írenna cyst
803 gúðbilla nán     grétan nolde
804 ac hé sigewaépnum     forsworen hæfde
805 ecga gehwylcre.     Scolde his aldorgedál
806 on ðaém dæge     þysses lífes
807 earmlíc wurðan     ond se ellorgást
808 on féonda geweald     feor síðian·
809 ðá þæt onfunde     sé þe fela aéror
810 módes myrðe     manna cynne
811 fyrene gefremede     —he, @ fág wið god—
812 þæt him se líchoma     laéstan nolde
813 ac hine se módega     maég Hygeláces
814 hæfde be honda·     wæs gehwæþer óðrum
815 lifigende láð·     lícsár gebád
816 atol aéglaéca·     him on eaxle wearð
817 syndolh sweotol·     seonowe onsprungon·
818 burston bánlocan·     Béowulfe wearð
819 gúðhréð gyfeþe·     scolde Grendel þonan
820 feorhséoc fléön     under fenhleoðu,
821 sécean wynléas wíc·     wiste þé geornor
822 þæt his aldres wæs     ende gegongen
823 dógera dægrím.     Denum eallum wearð
824 æfter þám wælraése     willa gelumpen:
825 hæfde þá gefaélsod     sé þe aér feorran cóm
826 snotor ond swýðferhð     sele Hróðgáres,
827 genered wið níðe·     nihtweorce gefeh
828 ellenmaérþum·     hæfde Éast-Denum
829 Géatmecga léod     gilp gelæsted·
830 swylce oncýþðe     ealle gebétte
831 inwidsorge     þé híe aér drugon
832 ond for þréanýdum     þolian scoldon
833 torn unlýtel·     þæt wæs tácen sweotol
834 syþðan hildedéor     hond álegde
835 earm ond eaxle     —þaér wæs eal geador
836 Grendles grápe—     under géapne hróf.
837 Ðá wæs on morgen     míne gefraége
838 ymb þá gifhealle     gúðrinc monig
839 férdon folctogan     feorran ond néän
840 geond wídwegas     wundor scéawian
841 láþes lástas·     nó his lífgedál
842 sárlíc þúhte     secga aénegum
843 þára þe tírléases     trode scéawode·
844 hú hé wérigmód     on weg þanon
845 níða ofercumen     on nicera mere
846 faége ond geflýmed     feorhlástas bær.
847 Ðaér wæs on blóde     brim weallende,
848 atol ýða geswing     eal gemenged
849 háton heolfre     heorodréore wéol·
850 déaðfaége déog     siððan dréama léas
851 in fenfreoðo     feorh álegde
852 haéþene sáwle·     þaér him hel onféng.
853 Þanon eft gewiton     ealdgesíðas
854 swylce geong manig     of gomenwáþe
855 ffram mere módge     méarum rídan
856 beornas on blancum·     ðaér wæs Béowulfes
857 maérðo maéned·     monig oft gecwæð
858 þætte súð né norð     be saém twéonum
859 ofer eormengrund     óþer naénig
860 under swegles begong     sélra naére
861 rondhæbbendra,     ríces wyrðra·
862 né híe húru winedrihten     wiht ne lógon
863 glædne Hróðgár     ac þæt wæs gód cyning.
864 Hwílum heaþorófe     hléapan léton
865 on geflit faran     fealwe méaras
866 ðaér him foldwegas     fægere þúhton
867 cystum cúðe.     Hwílum cyninges þegn
868 guma gilphlæden     gidda gemyndig
869 sé ðe ealfela     ealdgesegena
870 worn gemunde     word óþer fand
871 sóðe gebunden·     secg eft ongan
872 síð Béowulfes     snyttrum styrian
873 ond on spéd wrecan     spel geráde,
874 wordum wrixlan·     wélhwylc gecwæð
875 þæt hé fram Sigemunde     secgan hyrde
876 ellendaédum:     uncúþes fela
877 Wælsinges gewin     wíde síðas
878 þára þe gumena bearn     gearwe ne wiston
879 faéhðe ond fyrena     búton Fitela mid hine,
880 þonne hé swulces hwæt     secgan wolde
881 éäm his nefan     swá híe á waéron
882 æt níða gehwám     nýdgesteallan·
883 hæfdon ealfela     eotena cynnes
884 sweordum gesaéged·     Sigemunde gesprong
885 æfter déaðdæge     dóm unlýtel
886 syþðan wíges heard     wyrm ácwealde
887 hordes hyrde·     hé under hárne stán
888 æþelinges bearn     ána genéðde
889 frécne daéde     ne waés him Fitela mid·
890 hwæþre him gesaélde     ðæt þæt swurd þurhwód
891 wraétlícne wyrm     þæt hit on wealle ætstód
892 dryhtlíc íren·     draca morðre swealt·
893 hæfde áglaéca     elne gegongen
894 þæt hé béahhordes     brúcan móste
895 selfes dóme·     saébát gehléod·
896 bær on bearm scipes     beorhte frætwa
897 Wælses eafera     —wyrm hát gemealt—
898 sé wæs wreccena     wíde maérost
899 ofer werþéode     wígendra hléo
900 ellendaédum     —hé þæs aér onðáh—
901 siððan Heremódes     hild sweðrode,
902 earfoð ond ellen·     he mid eotenum wearð
903 on féonda geweald     forð forlácen
904 snúde forsended·     hine sorhwylmas
905 lemede tó lange·     hé his léodum wearð
906 eallum æþellingum     tó aldorceare·
907 swylce oft bemearn     aérran maélum
908 swíðferhþes síð     snotor ceorl monig
909 sé þe him bealwa     tó bóte gelýfde
910 þæt þæt ðéodnes bearn     geþéon scolde,
911 fæderæþelum onfón,     folc gehealdan
912 hord ond hléoburh     hæleþa ríce
913 éðel Scyldinga·     hé þaér eallum wearð
914 maég Higeláces     manna cynne
915 fréondum gefægra·     hine fyren onwód.
916 Hwílum flítende     fealwe straéte
917 méarum maéton.     Ðá waés morgenléoht
918 scofen ond scynded·     éode scealc monig
919 swíðhicgende     tó sele þám héan
920 searowundor séon·     swylce self cyning
921 of brýdbúre     béahhorda weard
922 tryddode tírfæst     getrume micle
923 cystum gecýþed     ond his cwén mid him
924 medostigge mæt     mægþa hóse.
925 Hróðgár maþelode     —hé to héalle géong·
926 stód on stapole·     geseah stéapne hróf
927 golde fáhne     ond Grendles hond—:
928 'Ðisse ansýne     alwealdan þanc
929 lungre gelimpe!     Fela ic láþes gebád,
930 grynna æt Grendle·     á mæg god wyrcan
931 wunder æfter wundre,     wuldres hyrde.
932 Ðaét wæs ungeára     þæt ic aénigra mé
933 wéana ne wénde     tó wídan feore
934 bóte gebídan     þonne blóde fáh
935 húsa sélest     heorodréorig stód:
936 wéa wídscofen     witena gehwylcne
937 ðára þe ne wéndon     þæt híe wídeferhð
938 léoda landgeweorc     láþum beweredon
939 scuccum ond scinnum·     ná scealc hafað
940 þurh drihtnes miht     daéd gefremede
941 ðe wé ealle     aér ne meahton
942 snyttrum besyrwan·     hwæt, þæt secgan mæg
943 efne swá hwylc mægþa     swá ðone magan cende
944 æfter gumcynnum     gyf héo gýt lyfað
945 þæt hyre ealdmetod     éste waére
946 bearngebyrdo.     Nú ic, Béowulf, þec,
947 secg betosta,     mé for sunu wylle
948 fréogan on ferhþe·     heald forð tela
949 níwe sibbe·     ne bið þé aénigre gád
950 worolde wilna     þé ic geweald hæbbe·
951 ful oft ic for laéssan     léan teohhode
952 hordweorþunge     hnáhran rince
953 saémran æt sæcce·     þú þé self hafast
954 daédum gefremed     þæt þín dóm lyfað
955 áwa tó aldre·     alwalda þec
956 góde forgylde     swá hé nú gýt dyde!'
957 Béowulf maþelode     bearn Ecgþéowes:
958 'Wé þæt ellenweorc     éstum miclum
959 feohtan fremedon·     frécne genéðdon
960 eafoð uncúþes.     Úþe ic swíþor
961 þæt ðú hine selfne     geséon móste
962 féond on frætewum     fylwérigne·
963 ic him hrædlíce     heardan clammum
964 on wælbedde     wríþan þóhte
965 þæt hé for handgripe     mínum scolde
966 licgean lífbysig     bútan his líc swice·
967 ic hine ne mihte     þá metod nolde
968 ganges getwaéman·     nó ic him þæs georne ætfealh
969 feorhgeníðlan·     wæs tó foremihtig
970 féond on féþe·     hwæþere, hé his folme forlét
971 tó lífwraþe     lást weardian,
972 earm ond eaxle·     nó þaér aénige swá þéah
973 féasceaft guma     frófre gebohte·
974 nó þý leng leofað     láðgetéona
975 synnum geswenced     ac hyne sár hafað
976 in níðgripe     nearwe befongen
977 balwon bendum     ðaér ábídan sceal
978 maga máne fáh     miclan dómes·
979 hú him scír metod     scrífan wille.'
980 Ðá wæs swígra secg     sunu Ecgláfes
981 on gylpspraéce     gúðgeweorca
982 siþðan æþelingas     eorles cræfte
983 ofer héanne hróf     hand scéawedon
984 feondes fingras·     foran aéghwylc wæs
985 steda nægla gehwylc     stýle gelícost
986 haéþenes handsporu     hilderinces
987 egl unhéoru·     aéghwylc gecwæð
988 þæt him heardra nán     hrínan wolde
989 íren aérgód,     þæt ðæs áhlaécan
990 blódge beadufolme     onberan wolde.
991 Ðá wæs háten hreþe     Heort innanweard
992 folmum gefrætwod·     fela þaéra wæs
993 wera ond wífa     þe þæt wínreced
994 gestsele gyredon·     goldfág scinon
995 web æfter wágum     wundorsíona fela
996 secga gehwylcum     þára þe on swylc starað·
997 wæs þæt beorhte bold     tóbrocen swíðe
998 eal inneweard     írenbendum fæst,
999 heorras tóhlidene·     hróf ána genæs
1000 ealles ansund     þé se áglaéca
1001 fyrendaédum fág     on fléam gewand
1002 aldres orwéna.     Nó þæt ýðe byð
1003 to befléönne     —fremme sé þe wille—
1004 ac gesacan sceal     sáwlberendra
1005 nýde genýdde,     niþða bearna
1006 grundbúendra     gearwe stówe
1007 þaér his líchoma     legerbedde fæst
1008 swefeþ æfter symle.     Þá wæs saél ond maél
1009 þæt tó healle gang     Healfdenes sunu·
1010 wolde self cyning     symbel þicgan·
1011 ne gefrægen ic þá maégþe     máran weorode
1012 ymb hyra sincgyfan     sél gebaéran·
1013 bugon þá tó bence     blaédágande
1014 fylle gefaégon·     fægere geþaégon
1015 medoful manig     mágas þára
1016 swíðhicgende     on sele þám héan
1017 Hróðgár ond Hróþulf·     Heorot innan wæs
1018 fréondum áfylled·     nalles fácenstafas
1019 Þéod-Scyldingas     þenden fremedon.
1020 Forgeaf þá Béowulfe     brand Healfdenes
1021 segen gyldenne     sigores tó léane
1022 hroden hiltecumbor,     helm ond byrnan·
1023 maére máðþumsweord     manige gesáwon
1024 beforan beorn beran·     Béowulf geþah
1025 ful on flette·     nó hé þaére feohgyfte
1026 for scótenum     scamigan ðorfte·
1027 ne gefrægn ic fréondlícor     féower mádmas
1028 golde gegyrede     gummanna fela
1029 in ealobence     óðrum gesellan·
1030 ymb þæs helmes hróf     héafodbeorge
1031 wírum bewunden     walan útan héold
1032 þæt him féla láf     frécne ne meahton
1033 scúrheard sceþðan     þonne scyldfreca
1034 ongéan gramum     gangan scolde.
1035 Heht ðá eorla hléo     eahta méaras
1036 faétedhléore     on flet téön
1037 in under eoderas·     þára ánum stód
1038 sadol searwum fáh     since gewurþad·
1039 þæt wæs hildesetl     héahcyninges
1040 ðonne sweorda gelác     sunu Healfdenes
1041 efnan wolde·     naéfre on óre læg
1042 wídcúþes wíg     ðonne walu féollon·
1043 ond ðá Béowulfe     béga gehwæþres
1044 eodor Ingwina     onweald getéah
1045 wicga ond waépna·     hét hine wél brúcan·
1046 swá manlíce     maére þéoden
1047 hordweard hæleþa     heaþoraésas geald
1048 méarum ond mádmum     swá hý naéfre man lyhð
1049 sé þe secgan wile     sóð æfter rihte.
1050 Ðá gýt aéghwylcum     eorla drihten
1051 þára þe mid Béowulfe     brimléade teah
1052 on þære medubence     máþðum gesealde
1053 yrfeláfe     ond þone aénne heht
1054 golde forgyldan     þone ðe Grendel aér
1055 máne ácwealde     swá hé hyra má wolde
1056 nefne him wítig god     wyrd forstóde
1057 ond ðæs mannes mód.     Metod eallum wéold
1058 gumena cynnes,     swá hé nú gít déëð·
1059 forþan bið andgit     aéghwaér sélest
1060 ferhðes foreþanc·     fela sceal gebídan
1061 léofes ond láþes     sé þe longe hér
1062 on ðyssum windagum     worolde brúceð.
1063 Þaér wæs sang ond swég     samod ætgædere
1064 fore Healfdenes     hildewísan,
1065 gomenwudu gréted,     gid oft wrecen
1066 ðonne healgamen     Hróþgáres scop
1067 æfter medobence     maénan scolde:
1068 @ Finnes eaferum     ðá híe se faér begeat
1069 hæleð Healfdena·     Hnæf Scyldinga
1070 in Fréswæle     feallan scolde.
1071 Né húru Hildeburh     herian þorfte
1072 eotena tréowe·     unsynnum wearð
1073 beloren léofum     æt þám hildplegan
1074 bearnum ond bróðrum·     híe on gebyrd hruron
1075 gáre wunde·     þæt wæs geómuru ides.
1076 Nalles hólinga     Hóces dohtor
1077 meotodsceaft bemearn     syþðan morgen cóm
1078 ðá héo under swegle     geséon meahte
1079 morþorbealo mága     þaér hé aér maéste héold
1080 worolde wynne·     wíg ealle fornam
1081 Finnes þegnas     nemne féaum ánum
1082 þæt hé ne mehte     on þaém meðelstede
1083 wíg Hengeste     wiht gefeohtan
1084 né þá wéaláfe     wíge forþringan
1085 þéodnes ðegne     ac hig him geþingo budon:
1086 þæt híe him óðer flet     eal gerýmdon
1087 healle ond héahsetl     þæt híe healfre geweald
1088 wið eotena bearn     ágan móston
1089 ond æt feohgyftum     Folcwaldan sunu
1090 dógra gehwylce     Dene weorþode·
1091 Hengestes héap     hringum wenede
1092 efne swá swíðe     sincgestréonum
1093 faéttan goldes     swá hé Frésena cyn
1094 on béorsele     byldan wolde.
1095 Ðá híe getruwedon     on twá healfa
1096 fæste frioðuwaére·     Fin Hengeste
1097 elne unflitme     áðum benemde
1098 þæt hé þá wéaláfe     weotena dóme
1099 árum héolde     þæt ðaér aénig mon
1100 wordum né worcum     waére ne braéce
1101 né þurh inwitsearo     aéfre gemaénden
1102 ðéah híe hira béaggyfan     banan folgedon
1103 ðéodenléase,     þá him swá geþearfod wæs·
1104 gyf þonne Frýsna hwylc     frécnen spraéce
1105 ðæs morþorhétes     myndgiend waére
1106 þonne hit sweordes ecg     syððan scolde.
1107 Ád wæs geæfned     ond incge gold
1108 áhæfen of horde·     Here-Scyldinga
1109 betst beadorinca     wæs on baél gearu·
1110 æt þaém áde wæs     éþgesýne
1111 swátfáh syrce     swýn ealgylden
1112 eofer írenheard     æþeling manig
1113 wundum áwyrded·     sume on wæle crungon·
1114 hét ðá Hildeburh     æt Hnæfes áde
1115 hire selfre sunu     sweoloðe befæstan,
1116 bánfatu bærnan     ond on baél dóön
1117 earme on eaxle·     ides gnornode·
1118 geómrode giddum·     gúðrinc ástáh·
1119 wand tó wolcnum     wælfýra maést
1120 hlynode for hláwe·     hafelan multon·
1121 bengeato burston     ðonne blód ætspranc,
1122 láðbite líces·     líg ealle forswealg,
1123 gaésta gífrost,     þára ðe þaér gúð fornam
1124 béga folces·     wæs hira blaéd scacen.
1125 Gewiton him ðá wígend     wíca néosian
1126 fréondum befeallen,     Frýsland geséon,
1127 hámas ond héaburh·     Hengest ðá gýt
1128 wælfágne winter     wunode mid Finn
1129 eal unhlitine·     eard gemunde
1130 þéah þe @ ne meahte     on mere drífan
1131 hringedstefnan:     holm storme wéol·
1132 won wið winde·     winter ýþe beléac
1133 ísgebinde     oþ_ðæt óþer cóm
1134 géar in geardas     swá nú gýt déëð·
1135 þá ðe syngáles     séle bewitiað
1136 wuldortorhtan weder.     Ðá wæs winter scacen,
1137 fæger foldan bearm·     fundode wrecca
1138 gist of geardum·     hé tó gyrnwræce
1139 swíðor þóhte     þonne tó saéláde·
1140 gif hé torngemót     þurhtéon mihte
1141 þæt hé eotena bearn     inne gemunde·
1142 swá hé ne forwyrnde     woroldraédenne
1143 þonne him Húnláfing,     hildeléoman
1144 billa sélest     on bearm dyde·
1145 þæs waéron mid eotenum     ecge cúðe.
1146 Swylce ferhðfrecan     Fin eft begeat
1147 sweordbealo slíðen     æt his selfes hám
1148 siþðan grimne gripe     Gúðláf ond Ósláf
1149 æfter saésíðe     sorge maéndon·
1150 ætwiton wéana daél·     ne meahte waéfre mód
1151 forhabban in hreþre·     ðá wæs heal hroden
1152 féonda féorum·     swilce Fin slægen
1153 cyning on corþre     ond séo cwén numen·
1154 scéotend Scyldinga     tó scypon feredon
1155 eal ingesteald     eorðcyninges·
1156 swylce híe æt Finnes hám     findan meahton
1157 sigla searogimma·     híe on saéláde
1158 drihtlíce wíf     tó Denum feredon·
1159 laéddon tó léodum.     Léoð wæs ásungen
1160 gléomannes gyd·     gamen eft ástáh·
1161 beorhtode bencswég·     byrelas sealdon
1162 wín of wunderfatum.     Þá cwóm Wealhþéo forð
1163 gán under gyldnum béage     þaér þá gódan twégen
1164 sæton suhtergefæderan     þá gýt wæs hiera sib ætgædere,
1165 aéghwylc óðrum trýwe·     swylce þaér Hunferþ þyle
1166 æt fótum sæt fréan Scyldinga·     gehwylc hiora his ferhþe tréowde
1167 þæt hé hæfde mód micel     þéah þe hé his mágum naére
1168 árfæst æt ecga gelácum·     spræc ðá ides Scyldinga:
1169 'Onfóh þissum fulle,     fréodrihten mín,
1170 sinces brytta·     þú on saélum wes,
1171 goldwine gumena,     ond tó Géatum spræc
1172 mildum wordum     swá sceal man dóön·
1173 béo wið Géatas glæd,     geofena gemyndig
1174 néan ond feorran     þú nú hafast·
1175 mé man sægde     þæt þú ðé for sunu wolde
1176 hereric habban·     Heorot is gefaélsod
1177 béahsele beorhta·     brúc þenden þú móte
1178 manigra médo     ond þínum mágum laéf
1179 folc ond ríce     þonne ðú forð scyle
1180 metodsceaft séön·     ic mínne can
1181 glædne Hróþulf·     þæt hé þá geogoðe wile
1182 árum healdan     gyf þú aér þonne hé,
1183 wine Scildinga,     worold oflaétest
1184 wéne ic þæt hé mid góde     gyldan wille
1185 uncran eaferan     gif hé þæt eal gemon·
1186 hwæt wit tó willan     ond tó worðmyndum
1187 umborwesendum aér     árna gefremedon.'
1188 Hwearf þá bí bence     þaér hyre byre waéron
1189 Hréðríc ond Hróðmund     ond hæleþa bearn
1190 giogoð æt_gædere·     þaér se góda sæt
1191 Béowulf Géata     be þaém gebróðrum twaém.
1192 Him wæs ful boren     ond fréondlaþu
1193 wordum bewægned     ond wundengold
1194 éstum geéawed:     earmréade twá
1195 hrægl ond hringas,     healsbéaga maést
1196 þára þe ic on foldan     gefrægen hæbbe·
1197 naénigne ic under swegle     sélran hýrde
1198 hordmádmum hæleþa     syþðan Háma ætwæg
1199 tó herebyrhtan byrig     Brósinga mene
1200 sigle ond sincfæt·     searoníðas fealh
1201 Eormenríces·     gecéas écne raéd·
1202 þone hring hæfde     Higelác Géata
1203 nefa Swertinges     nýhstan síðe
1204 siðþan hé under segne     sinc ealgode·
1205 wælréaf werede·     hyne wyrd fornam
1206 syþðan hé for wlenco     wéan áhsode
1207 faéhðe tó Frýsum·     hé þá frætwe wæg
1208 eorclanstánas     ofer ýða ful
1209 ríce þéoden·     hé under rande gecranc.
1210 Gehwearf þá in Francna fæþm     feorh cyninges
1211 bréostgewaédu     ond se béah somod·
1212 wyrsan wígfrecan     wæl réafeden
1213 æfter gúðsceare·     Géata léode
1214 hréawíc héoldon.     Heal swége onféng·
1215 Wealhðéo maþelode·     héo fore þaém werede spræc:
1216 'Brúc ðisses béages,     Béowulf léofa
1217 hyse, mid haéle     ond þisses hrægles néot
1218 þéod_gestreona     ond geþéoh tela·
1219 cen þec mid cræfte     ond þyssum cnyhtum wes
1220 lára líðe·     ic þé þæs léan geman·
1221 hafast þú geféred     þæt ðé feor ond néah
1222 ealne wídeferhþ     weras ehtigað
1223 efne swá síde     swá saé bebúgeð,
1224 windgeard, weallas·     wes þenden þú lifige,
1225 æþeling, éadig·     ic þé an tela
1226 sincgestréona·     béo þú suna mínum
1227 daédum gedéfe,     dréamhealdende·
1228 hér is aéghwylc eorl     óþrum getrýwe
1229 módes milde     mandrihtne hléo·
1230 þegnas syndon geþwaére     þéod ealgearo
1231 druncne dryhtguman     dóð swá ic bidde.'
1232 Éode þá tó setle·     þaér wæs symbla cyst·
1233 druncon wín weras·     wyrd ne cúþon
1234 geósceaft grimme     swá hit ágangen wearð
1235 eorla manegum     syþðan aéfen cwóm
1236 ond him Hróþgár gewát     tó hofe sínum
1237 ríce tó ræste     reced weardode
1238 unrím eorla     swá híe oft aér dydon
1239 bencþelu beredon·     hit geondbraéded wearð
1240 beddum ond bolstrum·     béorscealca sum
1241 fús ond faége     fletræste gebéag·
1242 setton him tó héafdon     hilderandas
1243 bordwudu beorhtan·     þaér on bence wæs
1244 ofer æþelinge     ýþgeséne
1245 heaþostéapa helm     hringed byrne
1246 þrecwudu þrymlíc·     wæs þéaw hyra
1247 þæt híe oft waéron     an wíg gearwe
1248 gé æt hám gé on herge     gé gehwæþer þára
1249 efne swylce maéla     swylce hira mandryhtne
1250 þearf gesaélde·     wæs séo þéod tilu.
1251 Sigon þá tó slaépe·     sum sáre angeald
1252 æfenræste     swá him ful oft gelamp
1253 siþðan goldsele     Grendel warode·
1254 unriht æfnde     oþ_þæt ende becwóm,
1255 swylt æfter synnum.     Þæt gesýne wearþ
1256 wídcúþ werum     þætte wrecend þá gýt
1257 lifde æfter láþum     lange þráge
1258 æfter gúðceare     Grendles módor
1259 ides áglaécwíf     yrmþe gemunde
1260 sé þe wæteregesan     wunian scolde
1261 cealde stréamas     siþðan camp_him wearð
1262 tó ecgbanan     ángan bréþer
1263 fæderenmaége·     hé þá fág gewát
1264 morþre gemearcod     mandréam fléön·
1265 wésten warode.     Þanon wóc fela
1266 geósceaftgásta·     wæs þaéra Grendel sum,
1267 heorowearh hetelíc·     sé æt Heorote fand
1268 wæccendne wer     wíges bidan·
1269 þaér him áglaéca     ætgráepe wearð·
1270 hwæþre hé gemunde     mægenes strenge
