á|always, ever, forever
ferh|see feorh.
ferhð|mind, spirit, heart
ferhð-frec|bold in spirit
ferhð-geníðla|deadly foe
ferh-weard|guard over life
ferian|carry, lead, bring, (ferry)
ge-ferian|carry, (ferry)
fetel-hilt|linked hilt, hilt furnished with a ring of chain
fetian|fetch
féþa|band of foot-soldiers, troop, host, infantry
féþe|going, pace
féþe-cempa|foot-warrior
féðe-gest|foot-guest or -warrior
féþe-lást|walking-track, step
féðe-wíg|fight on foot
fex|see feax.
fíf|five
fífel-cyn(n)|race of monsters, giants, sea-monsters(?)
fíftig|fifty
fíf-týne|fifteen
Fin(n)|king of the East Frisians
findan|find
finger|finger
Finnas|Finns (Lapps)
Finns-buruh|Finn's castle
fíond|see féond.
fíras|men, mankind
firen|see fyren.
firgen-|see fyrgen-.
Fitela|nephew (and son) of Sigemund
flaésc|flesh
flaésc-homa|body
flán|arrow
flán-boga|arrow-bow
fleah|see fléon.
fléam|flight
fléogan|fly
fléon|flee
fléotan|float, swim, sail
flet(t)|floor (of a 'hall')
flet-ræst|(hall-rest), couch in the hall
flet-sittend(e)|sitter in the hall
flet-werod|hall-troop
fliht|flight, flying
ge-flit|contest, rivalry, quarrel, dispute
flód|flood
flód-ýþ|flood-wave, wave of the sea
flór|floor
flota|ship, boat
flot-here|sea-army, naval force
(ge-)flýman|put to flight
folc|folk, people, nation
folc-ágend(e)|leader of a people, chief
folc-cwén|folk-queen
folc-cyning|folk-king
folc-réd|public benefit, what is good for the people
folc-riht|folk-right, legal share of the 'common' estate
folc-scaru|folk-share, public land
folc-stede|folk-stead
folc-toga|folk-leader, chief
Folc-walda|father of the Finn
fold-bold|building
fold-búend(e)|man, earth-dweller, inhabitant of the earth
folde|earth, ground
fold-weg|way, path
folgian|follow, pursue
folm|hand
fón|grasp, grapple, seize
ge-fón|seize, grasp
fondian|see fandian.
for|before, in front of; for, as, in place of
foran|before, in front
for-bærnan|cause to burn, burn up (trans.)
for-beran|forbear, restrain
for-byrnan|burn up (intr.)
ford|ford, water-way (sea)
fore|therefore, fore it; before
fore-maére|very famous, illustrious
fore-mihtig|very powerful
fore-snotor|very prudent, very clever
fore-þanc|forethought
for-gifan|give, grant
for-grindan|grind to pieces, crush
for-grípan|crush to death
for-gyldan|repay, pay for, requite
for-gýman|neglect, be unmindful of
for-gytan|forget
for-habban|hold oneself back, restrain oneself, forbear
for-healdan|disregard, come short in one's duty towards, rebel against, forsake
for-hicgan|despise, scorn
forht|afraid
for-lácan|mislead, betray
for-laédan|lead to destruction
for-laétan|leave, let (go), relinquish, surrender, abandon
for-léosan|lose, abandon, let go
forma|first
for-niman|take away, carry off
for-scrífan|proscribe, condemn
for-sendan|send away, dispatch, put to death
for-sittan|fail, diminish (intr.)
for-síðian|journey astray (to destruction), perish
forst|frost
for-standan|withstand, hinder, prevent
for-swápan|away/off
for-swelgan|swallow up
for-sw(e)orcan|become dark/dim
for-swerian|render useless by a spell
forð|forth, forward, on(ward), away
for-ðám|therefore
forð-gerímed|counted up, in total, all-told
forð-gesceaft|future state, destiny
forð-gewiten|departed, (gone forth, i.e.), dead
forðleoð|song of departure, death-dirge
for-ðon|see forðám.
for-þringan|rescue, protect
forð-weg|way forth
for-weorpan|throw away
for-wrecan|drive away, banish
for-wrítan|cut through
for-wyrnan|refuse
fót|foot
fót-gemearc|foot-mark, length of a foot
fót-lást|foot-print, track
fracod|bad, useless
fram|from
Francan|Franks
ge-fraége|information through hearsay
(ge-)frægn|see (ge-)frignan.
(ge-)frægnian|make famous, infamous
frætwan|adorn, make beautiful
frætwe|ornaments, trappings, decorated arms/armour, precious things, treasure
fréa|lord, king
fréa-drihten|lord and master
Fréa-waru|daughter of Hróðgár
fréa-wine|(friend and) lord
fréa-wrásn|(lordly, i.e.) splendid chain/band
freca|bold one, warrior
frécne|daring, audacious
frécne|daringly, terribly, severely
fremde|foreign, alien, estranged
freme|vigorous, lusty
fremman|further
ge-fremman|advance
fréo-burh|(free, i.e.) noble town
fréod|friendship
fréo-drihten|noble(/dear) lord
fréogan|love
fréo-líc|noble, excellent
fréond|friend
fréond-lár|friendly counsel (lore)
fréond-laþu|friendship, kindness, invitation
fréond-scipe,|friendship
freoðo|protection, safety, peace
freoðo-burh|town affording protection, stronghold
freoðo-wong|field of refuge, fastness
freoðu-webbe|peace-weaver
fréo-wine|noble(/dear) friend
Frésan, Frýsan|Frisians, West Frisians
Frés-cyning|king of the (West) Frisians
Frés-lond|Friesland, Frisia
Frés-wæl|Frisian battle-field
fretan|eat up, devour, consume
fricgan|ask, question
ge-fricgan|learn (orig., 'by inquiry'), hear of
friclan|desire, ask for
frignan, frínan|ask, inquire
ge-frignan|learn, (orig., 'by inquiry'), hear of
frioðo-waér|compact of peace
friðu-sib(b)|pledge of peace
fród|wise, old ('old and wise')
Fróda|Heaðo-Bard chief, father of Ingeld
frófor|consolation, solace, relief, help
from|see fram.
from|strenuous, bold, brave
fruma|beginning
frum-cyn(n)|lineage, origin
frum-gár|('first-spear', i.e.) chieftain
frum-sceaft|creation, beginning, origin
ge-frúnen, -frúnon, -frungon|see ge-frignan.
Frýsan, Frýs-land|see Frésan, Frés-lond.
fugol|bird
full|full
ful|full, very
ful(l)|(filled) cup, beaker
ful-laéstan|help, support
full-éode|follow, serve, aid
fultum|help, support
fundian|strive, be eager to go
furðum|just (of time), first
furþur|further, furthermore, further on
fús|eager to set out, ready, hastening
fús-líc|ready
fýf-týne|see fíf-týne.
fyl(l),|fall
ge-fyllan|fell, kill
fyllo|fill, plenty, feast
fyl-wérig|killed
fyr|see feor(r).
fýr|fire
fýras|see fíras.
fýr-bend|band forged with fire
fyrd-gestealla|war-comrade
fyrd-hom|war-dress, coat of mail
fyrd-hrægl|war-garment, byrnie
fýr-draca|(fire-drake), -dragon
fyrd-searo|armour
fyrd-wyrðe|distinguished (worthy) in war
fyren, firen, |crime, sin, wicked deed
fyren-daéd|wicked deed, crime
fyren-sceapen|wicked, created in sin
fyren-ðearf|dire distress
fyrgen-béam|mountain-tree
fyrgen-holt|mountain-wood
fyrgen-stréam|mountain-stream
fýren|fiery, on fire
fýr-heard|hardened by fire
fyrian|see ferian.
fýr-léoht|fire-light
fyrmest|see forma.
fyrn-dagas|days of old
fyrn-geweorc|ancient work
fyrn-gewin(n)|ancient strife
fyrn-man(n)|man of old
fyrn-wita|old counselor
fyrst,|space of time, time (granted for doing something)
(ge-)fyrðran|further, advance, impel, incite
fyr-wet(t), -wyt(t) [wit(t)]|curiosity
fýr-wylm|surge of fire
(ge-)fýsan|make ready, impel, incite
gád|lack, want
galan|sing, chant
galdor|see gealdor.
galga|gallows
galg-mód|sad in mind, gloomy
galg-tréow|gallows-tree
gamen|see gomen.
gamol|old, aged, ancient
gamol-feax|grey-haired
gán|go
ge-gán|go
gang|going
gangan|go
ganot|gannet, sea-bird
gár|spear
gár-céné|(spear-bold), brave
gár-cwealm|death by the spear
Gár-Dene|see Dene.
gár-holt|spear-shaft, i.e. spear
Gár-mund|father of the Angle king Offa
Gár-ulf|a Frisian warrior
gár-wiga|spear-fight, warrior
gár-wígend|spear-fighter, warrior
gást, gaést, m. -a.,|ghost, spirit, demon
gást-bona|soul-slayer, demon, devil (the name of a particular being?)
gædeling|kinsman, companion
gæst|see gist.
gaést|see gást.
gé,|and
gé,|see þú.
geador|together
geald|see gyldan.
gealdor|song, sound
gealp|see gilpan.
gean|against, towards
géap|curved, vaulted, spacious
géar|year
geára|gp. of géar, long since, (of yore)
geara|see gearo.
geard|(enclosure, hence) dwelling
géar-dagas|days of yore
geare|see gear(w)e.
gearo|ready, prepared, alert
gearo|see gear(w)e.
gearo-folm|with ready hand
gear(w)e|(readily), entirely, well, surely
Géatas|Scandinavian tribe
Geatisc|Geatish
Géat-mæcgas|men of the Geats
geato-líc|equipped, adorned, splendid, stately
geatwa|equipment, precious objects
gegn-cwide|answer
gegnum|forwards, straight, directly
gehðo|see giohðo.
gén|still, yet, further
géna|still, further
gende|see gengan.
gengan|go, ride
génunga|straightaway, directly, completely
géo|formerly, of old
géoc|help
géocor|grievous, sad
geofon|sea, ocean
geofum, -ena|see gifu.
geogoð|youth
geogoð-feorh|(period of) youth
geolo|yellow
geolo-rand|yellow shield
geó-méowle|see ió-.
geómor|sad, mournful
geómore|sadly
geómor-gyd(d)|mournful song
geómor-líc|sad
geómor-mód|sad of mind
geómrian|mourn, lament
geómuru|see geómor.
geond|throughout, through, along, over
geond-braédan|over-spread
geond-hweofan|pass through, go about
geond-séon|look over
geond-wlítan|look over
geong|young
georn|desirous, eager
georne|eagerly, willingly, earnestly
geó-sceaft|that which has been determined of old, fate
geó-sceaft-gást|demon sent by fate, fated spirit
géotan|pour, flow, rush
Géotena|see Géatas.
gest-sele|guest-hall, (royal) hall for retainers
gétan|destory, kill
gid(d)|song, tale, (formal) speech
gifan|give
gifeðe|given, granted (by fate)
gifeðe|fate
gif-heal(l)|gift-hall
gífre|greedy, ravenous
gif-sceat(t)|gift
gif-stól|gift-seat, throne
Gifðas|East Germanic tribe
gifu|gift
gígant|giant
gilp|boast, boasting
gilpan, gylpan|boast, rejoice
gilp-cwide|boasting speech
gilp-hlæden|(vaunt-laden), covered with glory, proud
gim(m)|gem, jewel
gimme-rice|(jewel-kingdom), precious realm
gin(n)|wide, spacious
gin-fæst, gimfæst, |ample, liberal
gingæst|see geong.
gió|see geó.
giofan|see gifan.
giogoð|see geogoð.
giohðo|sorrow, care
giómor(-)|see geómor(-).
giond-|see geond-.
giong|see geong.
gíong, pret.|see gangan.
ge-giredan|see ge-gyrwan.
gist,|stranger, visitor, guest
git|see þú.
gít|see gýt.
gladian|shine
glæd|kind, gracious
glæd-man|kind, gracious
glæd-mód|glad at heart
gléd|fire, flame
gléd-egesa|fire-terror, terrible fire
gléo|glee, mirth, entertainment
gléo-béam|glee-wood, harp, lyre
gléo-dréam|mirth
gléo-man(n)|gleeman, singer, bard
glídan|glide
glitinian|glitter, shine
glóf|glove(?), pouch(?)
gnéað|miserly, sparing
gnorn|sorrow, affliction
gnornian|mourn, lament
god|god, God, deity
gód|good (able, efficient, excellent, strong, brave
gód|good, goodness, good action, gifts, liberality
gód-fremmend(e)|one doing good, acting bravely
gold|gold
gold-aéht|possessions in gold, treasures
gold-fág, -fáh, |ornamented with gold
gold-gyfa|gold-giver, lord
gold-hladen|(laden) adorned with gold
gold-hroden|gold-adorned
gold-hwæt|liberal(?) for gold
gold-máðum|gold-treasure
gold-sele|gold-hall
gold-weard|guardian of gold
gold-wine|gold-friend, (generous) prince
gold-wlanc|splendidly adorned with gold
gombe|tribute
gomel, gomol|see gamol.
gomel-wudu|old-wood, ancient/antique harp
gomen|joy, mirth, sport, pastime
gomen-wáþ|joyous journey
gomen-wudu|wood of mirth, harp, lyre
(ge-)gongan|see (ge-)gangan.
gram|wrathful, hostile
gráp|grasp, claw
grápian|(grope), grasp
graédig|greedy, fierce
graég|grey
graég-hama|the grey-coated one, (wolf(?))
graég-maél|silver- or grey-coloured ('-marked')
græs-molde|grass-mould, greensward, grassland
Grendel|monstrous fen-dwelling being slain by Béowulf
gréot|sand, earth
gréotan|weep
grétan|approach, touch, attack
ge-grétan|greet, address
grim(m)|grim, fierce, angry
grím-helm|mask-helmet, (visored) helmet
grim-líc|fierce, terrible
grimme|grimly, terribly
grípan|gripe, grasp, clutch
gripe,|grip, grasp, attack
grom-heort|hostile-hearted
grom-hýdig|angry-minded, hostilely-disposed
grówan|grow
grund|ground
grund-búend|inhabitant of the earth, man
grund-hyrde|guardian of the earth, warden of the deep
grund-sele|underground hall, earth-hall
grund-wong|ground-plain
grund-wyrgen|accursed (female) monster of the deep
gryn(n)|see gyrn.
gryre|terror, horror
gryre-bróga|horror
gryre-fáh|terrible in its colours
gryre-geatwe|terrible armour, warlike equipment
gryre-giest|dreadful stranger
gryre-léoð|terrible song
gryre-líc|terrible, horrible
gryre-síð|dreadful (perilous) expedition
guma|man, (male human)
gum-cyn(n)|mankind, race, men
gum-cyst|manly virtue, munificence
gum-dréam|joys of men
gum-dryhten|lord of men
gum-féþa|band on foot
gum-man(n)|man
gum-stól|throne
gúð|war, battle, fight
gúð-beorn|warrior
gúð-bil(l)|war-sword (bill-sword)
gúð-byrne|war-mail (armour)
gúð-cearu|war-care, grievous strife
gúð-cræft|war-strength
gúð-cyning|war-king
gúð-déad|death in battle
Gúð-ere|a Frisian warrior
gúð-floga|war-flier
gúð-freca|fighter
gúð-fremmend(e)|warrior
Gúð-Géatas|see Géatas.
gúð-helm|war-helmet
gúð-horn|war-horn
gúð-hréð|glory in battle
Gúð-láf|a Danish warrior
gúð-léoð|war-song
gúþ-mód|of martial mind, warlike-spirit
gúð-raés|storm of battle, attack
gúð-réow|fierce in battle
gúð-rinc|warrior
gúð-róf|brave/infamous in battle
gúð-scear|slaughter (shearing) in battle, carnage
gúð-sceaða|enemy, destroyer
Gúð-Scilfingas|see Scylfingas.
gúð-searo|armour
gúð-sele|battle-hall
gúð-sweord|war-sword
gúð-getáwa|war-equipments
gúð-geweorc|martial action, war-deed
gúð-wérig|war-weary, worn out with fighting
gúð-wiga|warrior
gúð-wine|war-friend, warrior, sword
gúð-wudu|battle-wood, spear
gyd(d)|see gid(d).
gyddian|pay, repay
gylden|golden
gyllan|yell, cry out, resound
gylp, gylpan|see gilp, gilpan.
gylp-spraéc|boasting speech
gylp-word,|boasting word
gýman|care, heed, be intent (on)
gyn(n)|see gin(n).
gyrdan|gird, belt
gyrede, gegyred|see gyrwan.
gyrn|grief, affliction
gyrn-wracu|revenge for injury
gyrwan|prepare, make ready, dress, equip, adorn
ge-gyrwan|make ready, equip
gyst|see gist.
gystran|yesterday
gýt, gít|yet, still, hitherto
gýtsian|covet, be avaricious, be envious
habban|have, hold
hád|manner, state, position, form
hádor|bright, clear-voiced
hádor, n.|brightness
hádre|clearly, brightly
hafa|see habban.
hafela|head
hafenian|raise, lift up
hafo, hafu|see habban.
hafoc|hawk
haga|enclosure, entrenchment
hál|whole, hale, sound, unhurt
Hálga|Danish prince, younger brother of Hróðgár
hálig|holy, (orig., 'whole -ness', possibly ref. to 'charisma' [see Russell])
hals|see heals.
hám|home, dwelling, residence
Háma|a person of the Germanic (Gothic) cycle of legends
hamer|hammer
hám-weorðung|ornament of a home
hand, hond|hand
hand-bona|slayer by hand
hand-gestealla|comrade, associate
hand-gewriþen|twisted or woven by hand
hand-gripe|hand-grip
hand-léan, hond-léan, |see and-léan.
hand-scolu, -scalu, |(hand-)troop, companions
hand-sporu|hand-spur, nail, claw
hand-wyrðe|made worthy by hand, hand-crafted
hangian|hang (intr.)
hár|hoary, grey, old
hát|hot
hát|heat
hátan|name, call
ge-hátan|promise, (vow, threaten)
hatian|hate, persecute
hattres|see attor.
hæf|sea
hæfen|see hebban.
hæft|captive
hæft-méce|hilted sword
hæft-nýd|captivity
hæg-steald|young
haél|safety, good luck
hæle, hæleð|hero, warrior, man
haélo|prosperity, luck, hail
Hæreð|father of Hygd
hærg-træf|holy (heathen) temple
haéste|violent
Hæðcyn, -cen|Geatish prince, second son of Hréðel
haéþen|heathen, pagan, gentile, (lit., 'man of the heath' i.e. a pejorative for 'rustic')
haéð-stapa|heath-stalker (stag)
hé, héo, hit|he, she (she), it
héa-burh|(high burgh), great town
heafo, -u|see hæf.
héafod|head
héafod-beorg|head-protection
héafod-maég|(head-, i.e.) near relative
héafod-segn|head-sign, banner
héafod-weard|head-watch, i.e. death-watch, (wake)
heafola|see hafela.
héah|high, lofty, exalted
héahealle|high hall, august building
héah-cyning|great king
héah-gesceap|(high) destiny
héah-gestréon|splendid treasure
héah-lufu (-lufe)|high love
héah-sele|high (great) hall
héah-setl|high seat, throne
héah-stede|lofty place
heal(l)|hall
heal-ærn|hall-building
healdan|hold, keep, guard, occupy, possess, rule
ge-healdan|hold, keep, guard, rule
healf|half
healf|(half), side
Healf-Dene,|king of the Danes, father of Heorogár, Hróðgár, Hálga (& Ýrse)
heal-gamen|entertainment in the hall
heal-reced|hall-building
heals|neck
heals-béag|neck-ring, collar
heals-gebedda|dear bed-companion, consort
healsian|implore
heal-sittend(e)|hall-sitter
heal-ðegn|hall-thane
heal-wudu|hall-wood
héan|abject, humiliated, wretched, despised
héan(ne)|see héah.
héap|band, troop, company, multitude
heard|hard, strong, brave, hardy, severe
hearde|hard, sorely
heard-ecg|hard of edge
heard-hicgende|brave-minded
Heard-réd|Geatish king, son of Hygelác
hearm|harm, injury, insult
hearm-dæg|evil day
hearm-scaþa|pernicious enemy
hearpe|harp, lyre
heaðerian|restrain, confine
heaðu-|battle.
heaþo-blác|bleak by battle, pale, mortally wounded
Heaðo-Beardan|a Germanic tribe
heaðo-byrne|war-byrnie, mail-coat
heaþo-déor|battle-brave
heaðo-, heaðu-fýr,|battle-fire, deadly fire
heaþo-geong|young (in war)
heaðo-grim(m)|battle-grim, fierce
heaðo-lác|(battle-sport), battle
Heaþo-láf|a man of the Wylfing tribe
heaþo-líðend(e)|war-sailor, sea-warrior
heaðo-maére|renowned in battle
Heaþo-Raémas|a people living in southern Norway
heaðo-raés|storm of battle
heaðo-réaf|war-dress, battle-gear, armour
heaðo-rinc|warrior
heaþo-róf|brave/famed in battle
heaðo-sceard|battle-hacked, notched
Heaðo-Scilfingas|see Scylfingas.
heaðo-síoc|battle-sick, wounded
heaþo-stéap|(steep) towering in battle
heaþo-swát|battle-sweat, blood shed in battle
heaðo-torht|battle-clear, clear (sounding) in battle
heaðo-waéd|war-dress, armour
heaðo-weorc|battle-work, fight
heaðo-wylm|(battle-surge), violent flame
heáþu|indecl., high place
heaðu-sweng|battle-stroke, battle-swing
héawan|hew
ge-héawan|hew, cut (to pieces)
hebban|(heave), raise, lift
hédan|heed, care for
ge-héde|see ge-hégan.
hefene|see heofon.
ge-hégan|hold (a meeting), perform, carry out, achieve
heht|see hátan.
helan|conceal, cover, hide
hel(l)|hell
hell-bend|bond of hell
helm|protection, cover
helm-berend|(helmet-bearer), warrior
Helmingas|the family to which Wealhþéow belongs
help|help
helpan|help
hel-rúne|one skilled in the mysteries of hell, necromancer
Hemming|a kinsman of Offa(?)
Hengest|leader of the (Half-)Danes after Hnæf's death in Frisia
héo (hío)|see hé.
heofon|heaven
heolfor|blood, gore
heolster|hiding-place
heonan|hence
héore|safe, pleasant, good
heoro-, heoru-dréor|(sword-, i.e. ) battle-blood
heoro-dréorig|(sword-)gory, blood-stained
Heoro-gár|Danish king, elder brother of Hróðgár
heoro-gífre|(sword-greedy), fiercely ravenous
heoro-, heoru-grim(m), |(sword-grim), fierce
heoro-hócyhte|(sword-hooked), barbed
heoro-sweng|sword-stroke, sword-swing
heorot|hart, stag
Heorot|the famous hall of the Danish king Hróðgár
Heoro-weard|son of Heorogár
heoro-wearh|accursed foe, savage outcast
heor(r)|hinge
heorte|heart
heorð-genéat|hearth-companion, retainer
heoru|sword
heoðu|hall, precincts
hér|here, hither
here|army, host, troop
Here-beald|Geatish prince, eldest son of Hréðel
here-bróga|war-terror
here-byrne|battle-byrnie
Here-gár|see Heoro-gár.
here-gríma|war-mask, visored helmet
Here-mód|a king of the Danes
here-net|(war-net), mail-coat
here-níð|hostility, violence
here-pád|coat of mail
here-ric|army-rule, war-hero
Here-ríc|uncle of Heardréd(?) (i.e. brother of Hygd)
here-sceaft|battle-shaft, spear
here-sceorp|war-dress, armour
Here-Scyldingas|see Scyldingas.
here-spéd|success in war
here-straél|war-arrow
here-syrce|(battle-sark), shirt of mail
here-waéd|war-dress, armour
here-wæs(t)m|(warlike stature,) martial vigour
here-wísa|army leader
herg (hearh)|a place sacred to a god
herge|see here, herian.
herian|praise
hete|hate, hostility
hete-líc|hateful
hetend|see hettend.
hete-níð|enmity
hete-sweng|hostile blow
hete-þanc|thought of hate
hettend|enemy
Het-ware|a Frankish people on the lower Rhein
hicgean|see hygan.
hider|hither
hige, hyge, |mind, heart, soul
Hige-lác|see Hyge-lác.
hige-maéðu (=-méðu)|weariness of mind, distress of soul
hige-róf|valiant
hige-þíhtig|strong-hearted, determined
hige-þrym(m)|greatness of heart
hild|war, battle
hilde-bil(l)|battle-sword(/-"bill")
hilde-bord|(battle-board, i.e.) shield
Hilde-burh|sister of Hnæf (chief of the Half-Danes), daugher of Hóc, wife of the Frisian king Finn
hilde-cyst|battle-virtue, valour
hilde-déor|brave in battle
hilde-freca|see hild-freca.
hilde-geatwe|war-equipments
hilde-gicel|battle-icicle
hilde-gráp|hostile grasp
hilde-hlæm(m)|crash of battle
hilde-léoma|battle-light
hilde-méce|battle-sword
hilde-mecg|warrior
hilde-raés|storm of battle
hilde-rand|battle-shield
hilde-rinc|warrior
hilde-sceorp|war-dress, armour
hilde-setl|war-seat, saddle
hilde-strengo|battle-strength
hilde-swát|battle-sweat, battle-blood
hilde-túx (=túsc)|battle-tusk
hilde-waépen|war-weapon
hilde-wísa|leader in battle
hild-freca|fighter, warrior
hild-fruma|war-chief
hild-lata|one sluggish in battle, coward
hild-plega|war-play, warfare, battle
hilt|hilt
hilted|hilted
hilte-cumbor|hilt-banner
hindema|last, (hindmost)
hín-fús|eager to get away
híofan|lament
hioro-drync|sword-drink, blood
hioro-serce|(battle-sark), coat of mail
Hiorot|see Heorot.
hioro-weallende|welling fiercely
hit (hyt)|see hé.
hladan|lade, load, heap up, lay
ge-hladan|load
hlæst|freight, load, cargo
hlaéw, hláw|mound, barrow, cave
hláford|lord
hláford-léas|lord-less
hláw|see hlaéw.
hleahtor|laughter, merriment
hléapan|leap, gallop
hléo|cover, shelter, protection, hence protector
hléo-burh|sheltering town, stronghold
ge-hleód|see ge-hladan.
hleonian (hlinian)|lean
hléor-berg|cheek-guard, helmet
hléor-bolster|cheek-cushion, pillow
hléotan|(cast lots), obtain
hléoðor-cwyde|ceremonious speech
hléoþrian|speak, exclaim
hlífian|stand high, tower
hlim-bed(d)|bed of rest
hlið|hill with a hollow
hlíuade|see hlífian.
hlúd|loud
hlyn(n)|sound, din
ge-hlyn(n)|loud sound, din
hlynnan|make a noise, shout, roar
hlynsian|resound
hlytm|lot
hnáh|lowly, mean, poor, illiberal
hnaégan|humble, subdue
ge-hnaégan|lay low, humble, subdue
Hnæf|chief of the (Half-)Danes, brother of Hildeburh, son of Hóc
hnítan|(strike), clash together
Hóc|father of Hildeburh & Hnæf
hof|dwelling, house, court
(ge-)hogode|see (ge-)hycgan.
hoh|mound, hill
hold|loyal, trustworthy
hólinga|in vain, without cause
holm|sea, water
holm-clif|sea-cliff, cliff by the water-side
holm-wylm|surge of the sea
holt|wood, copse
holt-wudu|wood
homer|see hamer.
hond, hond- (gestealla, scolu)|see hand(-).
hond-gemót|hand-meeting, battle
hond-gesella|companion (who is close to one's side), comrade-in-arms
hond-geweorc|handiwork, deed of strength
hond-locen|(locked) linked by hand
hond-raés|hand-fight
Hond-scióh|a Geat warrior, one of the comrades of Béowulf
hond-slyht|counter-blow, return blow by hand
hond-sweng|hand-swing, stroke
hond-wundor|wondrous thing wrought by hand
hongian|see hangian.
hord|hoard, treasure (orig. what is hidden )
hord-ærn|treasure-house
hord-burh|treasure-city
hord-gestréon|stored-up possessions, treasure
hord-máðum|hoard-treasure, jewel
hord-weard|guardian of treasure
hord-wela|hoarded wealth
hord-weorþung|honouring with treasure
hord-wyn(n)|hoard-joy, delightful treasure
horn|horn
horn-boga|horn-bow (i.e. bow 'tipped with horn' or 'curved like a horn')
horn-géap|wide-gabled
horn-reced|gabled hall
hors|horse
hós|troop (of attendants)
hoðma|concealment, grave
hrá|corpse, cadaver, body
Hraédlan, Hraédles|see Hréðel.
hræd-líce|quickly
hræfen|see hrefn.
hrægl|dress, corslet
hræðre|see hreðer.
hrá-fyl(l)|fall of corpses, slaughter
hraþe, hræþe|quickly
hréam|cry, outcry
hréa-wíc|place of corpses
hrefn (hræfn)|raven
Hrefna-wudu,|a forest in Sweden
Hrefnes-holt|a forest in Sweden
hrémig|exulting, boasting
hréoh|rough, fierce, savage, troubled
hréoh-mód|troubled in mind, fierce
hréosan|fall, rush
Hréosna-beorh|a hill in Geatland
hréow|sorrow, distress
hréð|glory, triumph
hreþe|see hraþe.
Hréðel (-aé-, Hraédla)|king of the Geats, father of Hygelác, grandfather of Béowulf
hreðer|breast, heart
hreþer-bealo|(heart-bale), distress
Hréþling|son of Hréþel
Hréð-men|a name for the Geats
Hréð-ríc|a son of Hróðgár
hréð-sigor|glorious victory
hrínan|touch, reach
hrimge/hrinde|covered with frost
hring|ring (ornament)
hringan|ring, resound
hring-boga|coiled creature (dragon)
Hring-Dene|see Dene.
hringed|(pp.), formed of rings
hringed-stefna|ring-prowed ship
hring-íren|ring-iron, iron rings (of mail-coat)
hring-maél|ring-marked, i.e. (sword) adorned with a ring, (or, perhaps, ring-weapon)
hring-naca|ring-prowed ship
hring-net(t)|ring-net, coat of mail
hring-sele|ring-hall
hring-weorðung|ring-adornment
hroden|adorned, decorated
hróf|roof
hróf-sele|roofed hall
Hrones-næs(s)|a headland on the coast of Geatland
hron-fisc|whale(-fish, cp. Ger. Walfisch)
hron-rád|whale-road, ocean
hrór|agile, vigorous, strong
Hróð-gár|king of the Danes, son of Healf-Dane, lord of Heorot
Hróð-mund|a son of Hróðgár
hróðor|joy, benefit
Hróþ-ulf|son of Hálga, nephew of Hróðgár
Hrunting|Unferð's sword
hruron|see hréosan.
hrúse|earth, ground
hrycg|back, ridge
hryre,|fall, death
hryssan (hrissan)|shake, rattle (intr.)
hú|conj., how
Húgas|a name applied to the Franks
hund|dog, hound
hund, num.|hundred
Hun-ferð|see Un-ferð.
Hún-láfing|Hengest's sword? or perh. a warrior in Hengest's band (son of Húnláf)?
húru|indeed, at any rate, verily, however
hús|house
húð|spoils, booty, plunder
hwá|who, what
ge-hwá|each (one)
hwan|see hwá.
hwanan, -on|whence
hwár|see hwaér.
hwata, -e, -um|see hwæt.
hwæder|see hwyder.
hwaér|conj., where, anywhere
ge-hwaér|everywhere, on every occasion
hwæt|brisk, vigorous, valiant
hwæt|see hwá.
hwæt|what, lo, behold, well
hwæðer|(whether), which of two
ge-hwæþer|either, each (of two), both
hwæþer|whether
hwæþre, hwæþere|however, yet
hwearf-líc|active(?), trusty(?)
ge-hwelc|see ge-hwylc.
hwéne|a little, somewhat
hweorfan|turn, go, move about
ge-hweorfan|go, pass
hwergen|somewhere
hwettan|whet, urge, incite
hwíl|while, time, space of time
hwít|white, shining
hworfan|see hweorfan.
hwyder|whither
hwylc|which, what
ge-hwylc|each, every (one)
hwyrfan|move about
hwyrft,|turning, motion, going
hycgan|think, purpose, resolve
ge-hycgan|resolve
hýdan|hide
ge-hygd|thought
Hygd|wife of Hygelác
hyge|see hige.
hyge-bend|mind's bond, heart-string
hyge-giómor|sad in mind, sad at heart
hyge-méðe|wearying the mind
hyge-sorh|heart-sorrow
hyht,|hope, solace
ge-hyld|protection
hyldan|incline, bow down
hyldo|favour, grace, loyalty, friendship
hylt|see hilt.
hýnan|humble, ill-treat, injure
hýnðu|humiliation, harm, injury
hýran|hear
ge-hýran|hear, learn
hyrde|((shep)herd), guardian, keeper
hyrst|ornament, accoutrement
hyrstan|adorn, decorate
hyrsted-gold|fairly-wrought gold
hyrtan|encourage
hyse|youth, young man
hyt(t) (hit(t))|heat
hýð|harbour
hýð-weard|harbour-guardian
ic|I
ídel|idle, empty, unoccupied
ídel-hende|empty-handed
ides|woman, lady, queen
in|in
in(n)|dwelling, lodging
inc, incer|see þú.
in-fród|very old and wise
in-gang|entrance
In-geld|prince of the Heaðo-Bards, son of Fróda
in-genga|invader
in-gesteald|house-property, possessions in the house
Ing-wine|(Ing's friends), Danes
inn|see in
innan|(from) within, inside
innan-weard|inward, interior
inne|within, inside
inne-weard|inward, interior
inwid-sorh|see inwit-sorh.
inwit-feng|malicious grasp
